cohort,sample_id,familiarity_score_0_to_100,familiarity_bin,interface_distogram_nll,interface_expected_distance_mae_angstrom,token_contact_average_precision_at_6a,token_contact_auroc_at_6a,physical_pocket_precision_at_6a,physical_pocket_recall_at_6a,physical_pocket_f1_at_6a,entropy_crop_pl
discovery_100,5sju__1__1.A__1.G__1.G,29.233644219107603,20-30,3.422183895228988,2.027363929038663,0.42791434886031593,0.9930417774596032,1.0,0.2692307692307692,0.42424242424242425,0.5767858028411865
discovery_100,6zg4__1__1.A__1.B__1.B,30.27473421472848,30-40,2.9819454381164108,1.044709722165344,0.8028534813460115,0.9969600401722772,0.9166666666666666,0.39285714285714285,0.55,0.5275387763977051
discovery_100,7ekr__1__1.A__1.C__1.C,94.29008182717382,80-100,2.0193942167262064,1.0717191475442642,0.968653066324097,0.9996174087717312,1.0,0.42857142857142855,0.6,0.3612380623817444
discovery_100,7es1__1__1.A__1.C__1.C,48.23898793205923,40-50,4.864234079859003,3.276741119229926,0.07888587889787488,0.9536567704561911,0.6666666666666666,0.1111111111111111,0.1904761904761905,0.7348141074180603
discovery_100,7fai__1__1.A__1.E__1.E,70.20574022320437,70-80,4.186246496532417,2.139767034615161,0.28824013799795445,0.986347035841685,1.0,0.32142857142857145,0.4864864864864865,0.4815604090690613
discovery_100,7fd6__1__1.A__1.B__1.B,48.12178691507226,40-50,4.491905176948734,3.587300103044808,0.4081439349941812,0.9887642644091789,1.0,0.07692307692307693,0.14285714285714288,0.6856176257133484
discovery_100,7fhb__1__1.A__1.B__1.B,60.04505943670812,60-70,2.4432878410488343,0.8667123344419909,0.7457038898887745,0.9972549132725664,1.0,0.12903225806451613,0.2285714285714286,0.6269058585166931
discovery_100,7ftm__1__1.A__1.C__1.C,0.0,0-20,14.333842903584323,13.054863511699587,0.010394956715307208,0.448256218748022,0.0,0.0,0.0,0.5147010087966919
discovery_100,7jni__1__1.A__1.C__1.C,21.10849072492549,20-30,5.224514717792073,3.841863314944628,0.07415139557013821,0.9642944627574319,1.0,0.05405405405405406,0.10256410256410257,0.6491786241531372
discovery_100,7ko6__1__1.A__1.D__1.D,58.06812655273292,50-60,1.9309016596226798,0.4225311170789187,0.9253273516350352,0.9964063375294627,1.0,0.8461538461538461,0.9166666666666666,0.3439541757106781
discovery_100,7lr9__1__1.A__1.C__1.C,97.02083510449827,80-100,1.9498135902655347,0.5243943779794495,0.9231569759585094,0.9985561929696223,1.0,0.44,0.6111111111111112,0.42364999651908875
discovery_100,7mof__1__1.A__1.C__1.C,25.89592248654912,20-30,2.768694838370258,0.9530702420033532,0.886322892586326,0.9975496556974289,1.0,0.625,0.7692307692307693,0.5794920325279236
discovery_100,7nah__1__1.A__1.C__1.C,8.251175090897645,0-20,3.2409780700573223,5.328093478367828,0.6470782783239757,0.9912669502678928,0.0,0.0,0.0,0.7151939868927002
discovery_100,7nb7__1__1.A__1.E__1.E,63.0759132677929,60-70,1.2462172993705964,0.22279971920881905,0.991053475919693,0.9998179812465526,1.0,0.6818181818181818,0.8108108108108109,0.23245418071746826
discovery_100,7oli__1__1.A__1.C__1.C,90.21662461115622,80-100,2.9115788182526203,1.0179609652731527,0.7273899142518865,0.992156698146205,1.0,0.36,0.5294117647058824,0.4496771991252899
